crime_type,latitude,longitude,geometry
OTHER OFFENSE,41.823135935,-87.673314143,POINT (-87.673314143 41.823135935)
BATTERY,41.798784825,-87.668359971,POINT (-87.668359971 41.798784825)
OFFENSE INVOLVING CHILDREN,41.801462544,-87.65416803,POINT (-87.65416803 41.801462544)
ARSON,41.809505617,-87.668641589,POINT (-87.668641589 41.809505617)
OFFENSE INVOLVING CHILDREN,41.802553909,-87.673323689,POINT (-87.673323689 41.802553909)
SEX OFFENSE,41.811551206,-87.665047641,POINT (-87.665047641 41.811551206)
BATTERY,41.798478598,-87.667134549,POINT (-87.667134549 41.798478598)
ASSAULT,41.801597355,-87.644546484,POINT (-87.644546484 41.801597355)
ROBBERY,41.80099297,-87.65504587,POINT (-87.65504587 41.80099297)
BATTERY,41.799727733,-87.648549406,POINT (-87.648549406 41.799727733)
WEAPONS VIOLATION,41.815225035,-87.684055692,POINT (-87.684055692 41.815225035)
ASSAULT,41.797995502,-87.677609978,POINT (-87.677609978 41.797995502)
HOMICIDE,41.80955005,-87.643137128,POINT (-87.643137128 41.80955005)
OTHER OFFENSE,41.8012118,-87.676168836,POINT (-87.676168836 41.8012118)
BATTERY,41.797046142,-87.661021252,POINT (-87.661021252 41.797046142)
ROBBERY,41.806248253,-87.673417816,POINT (-87.673417816 41.806248253)
ASSAULT,41.811609995,-87.663832864,POINT (-87.663832864 41.811609995)
DECEPTIVE PRACTICE,41.817570192,-87.665183168,POINT (-87.665183168 41.817570192)
THEFT,41.803182736,-87.661554938,POINT (-87.661554938 41.803182736)
DECEPTIVE PRACTICE,41.798904854,-87.67778408,POINT (-87.67778408 41.798904854)
NARCOTICS,41.798504481,-87.665920362,POINT (-87.665920362 41.798504481)
ROBBERY,41.799003206,-87.669582644,POINT (-87.669582644 41.799003206)
OTHER OFFENSE,41.808664584,-87.66040827,POINT (-87.66040827 41.808664584)
INTERFERENCE WITH PUBLIC OFFICER,41.801313045,-87.665176039,POINT (-87.665176039 41.801313045)
MOTOR VEHICLE THEFT,41.800636678,-87.663543671,POINT (-87.663543671 41.800636678)
LIQUOR LAW VIOLATION,41.814957331,-87.665129621,POINT (-87.665129621 41.814957331)
OFFENSE INVOLVING CHILDREN,41.797092144,-87.652523529,POINT (-87.652523529 41.797092144)
NARCOTICS,41.802420738,-87.663591109,POINT (-87.663591109 41.802420738)
ASSAULT,41.806012391,-87.664899806,POINT (-87.664899806 41.806012391)
MOTOR VEHICLE THEFT,41.796714501,-87.663441486,POINT (-87.663441486 41.796714501)
BURGLARY,41.797195955,-87.662237247,POINT (-87.662237247 41.797195955)
THEFT,41.807985987,-87.658874826,POINT (-87.658874826 41.807985987)
DECEPTIVE PRACTICE,41.813058022,-87.665083334,POINT (-87.665083334 41.813058022)
OTHER OFFENSE,41.794369307,-87.641415087,POINT (-87.641415087 41.794369307)
OFFENSE INVOLVING CHILDREN,41.809898111,-87.668652204,POINT (-87.668652204 41.809898111)
CRIM SEXUAL ASSAULT,41.802319657,-87.666027478,POINT (-87.666027478 41.802319657)
DECEPTIVE PRACTICE,41.806282112,-87.669767936,POINT (-87.669767936 41.806282112)
KIDNAPPING,41.8037443,-87.659975618,POINT (-87.659975618 41.8037443)
CRIMINAL TRESPASS,41.798612675,-87.664705319,POINT (-87.664705319 41.798612675)
BATTERY,41.797818277,-87.65419184,POINT (-87.65419184 41.797818277)
WEAPONS VIOLATION,41.795244363,-87.643635357,POINT (-87.643635357 41.795244363)
CRIMINAL TRESPASS,41.814437941,-87.640912998,POINT (-87.640912998 41.814437941)
BATTERY,41.795204516,-87.669478818,POINT (-87.669478818 41.795204516)
PROSTITUTION,41.808526552,-87.67255813,POINT (-87.67255813 41.808526552)
NARCOTICS,41.809720278,-87.673506896,POINT (-87.673506896 41.809720278)
BATTERY,41.806179825,-87.664905401,POINT (-87.664905401 41.806179825)
ASSAULT,41.795139467,-87.665830589,POINT (-87.665830589 41.795139467)
INTERFERENCE WITH PUBLIC OFFICER,41.797646235,-87.667462232,POINT (-87.667462232 41.797646235)
SEX OFFENSE,41.817219532,-87.645754796,POINT (-87.645754796 41.817219532)
INTERFERENCE WITH PUBLIC OFFICER,41.804061391,-87.645407687,POINT (-87.645407687 41.804061391)
BATTERY,41.795264886,-87.669478195,POINT (-87.669478195 41.795264886)
